Record_Number,RecordWritten,DNIS,Cluster_ID,Cluster_Type,RepeatCall,Repeat_UID,Source
3862509,10/24/2018 11:18:39 AM,2236,2,Identification,TRUE,95ab41a4-cab4-4e69-b91b-7d4abf24b8cf,OM3
3862517,10/24/2018 11:19:36 AM,8767,1,Identification,TRUE,69f07da7-5223-4caa-b01f-576a8148ecc7,OM2
3862524,10/24/2018 11:20:38 AM,1750,3,Identification,TRUE,b4f13e4d-8ef6-4ae8-bfa2-143b3b7a62a4,OM4
3862536,10/24/2018 11:22:03 AM,8767,1,Identification,TRUE,d20ba327-99c0-4f7b-81c0-c969f045318d,OM2
3862548,10/24/2018 11:23:01 AM,2236,2,Identification,TRUE,29e1dfcd-d269-4626-8987-eb81f0541206,CM4
3862554,10/24/2018 11:23:45 AM,2236,2,Identification,TRUE,aa07c4c0-38ae-477c-8cce-74b885e81cfd,CM1
3862560,10/24/2018 11:24:53 AM,2236,2,Identification,TRUE,f8099ddc-30e6-47d7-8a4f-f46a943bdbc5,CM2
3862564,10/24/2018 11:25:33 AM,1750,3,Identification,TRUE,3315fa5a-ffd6-488d-8e16-52cd3af56acc,OM3
3862567,10/24/2018 11:25:50 AM,2796,4,Identification,TRUE,0ceb596c-ad2b-468c-9d5a-3131fcdeb851,CM2
3862585,10/24/2018 11:28:35 AM,1750,3,Identification,TRUE,f7cf7a3f-3221-4d09-bb51-80e2501087a5,OM1
3862614,10/24/2018 11:31:26 AM,2796,4,Identification,TRUE,76573b15-4d7e-4eed-94ba-e7d63c7b6365,OM4
3862632,10/24/2018 11:34:15 AM,1750,3,Identification,TRUE,9fc7e044-c24b-4c73-9bb6-324b9c66c576,CM1
3862640,10/24/2018 11:34:44 AM,2796,4,Identification,TRUE,f6f0049c-0f47-4617-8321-609cc5092a74,CM3
3862641,10/24/2018 11:35:02 AM,2796,4,Identification,TRUE,edc9c86c-a1df-43a3-8edc-04c6893da851,OM3
3862642,10/24/2018 11:35:02 AM,2236,2,Identification,TRUE,bd785ede-088e-4538-80a9-180adbfa2bad,CM3
3862644,10/24/2018 11:35:45 AM,2236,2,Identification,TRUE,0220269b-2077-486d-a59c-80c22149fd1f,CM1
3862645,10/24/2018 11:35:51 AM,2236,2,Identification,TRUE,597557b2-42e1-4759-8b9b-b27dcb8aaf60,OM4
3862655,10/24/2018 11:36:51 AM,2796,4,Identification,TRUE,a2b47024-533b-4fc3-a22a-97550d6daaf3,OM3
3862669,10/24/2018 11:38:57 AM,2796,4,Identification,TRUE,3e2ba049-41a0-4c0b-9386-8330390f7460,OM1
3862673,10/24/2018 11:39:17 AM,2236,2,Identification,TRUE,ddd378ef-795c-4b4f-bb73-f3b27df246b7,OM2
3862679,10/24/2018 11:39:46 AM,8767,1,Identification,TRUE,e0c07525-4ba2-49c3-aa03-10e6088930bc,OM1
3862707,10/24/2018 11:42:35 AM,8767,1,Identification,TRUE,7c567af0-1ffd-4dd6-99ec-94ce81b2ab46,OM3
3862725,10/24/2018 11:44:20 AM,2236,2,Identification,TRUE,88db8e33-8463-476f-ab6f-c05a4cf2eb92,CM2
3862737,10/24/2018 11:45:20 AM,1750,3,Identification,TRUE,cf088b38-806c-4e13-abd3-37be806f8a92,OM4
3862738,10/24/2018 11:45:22 AM,2796,4,Identification,TRUE,495a93a5-a320-4c52-b9b3-2c8ed5cbf4f2,CM3
3862742,10/24/2018 11:46:12 AM,2236,2,Identification,TRUE,58d4a104-6eeb-4cb4-bd60-5e9938bce0de,OM4
3862747,10/24/2018 11:47:11 AM,2236,2,Identification,TRUE,a755ec5e-b7a1-4858-9657-401e902423c6,OM2
3862757,10/24/2018 11:48:41 AM,2236,2,Identification,TRUE,60494d89-cadb-48a4-8318-d4c8aced1b8b,OM3
3862768,10/24/2018 11:49:52 AM,2236,2,Identification,TRUE,da7e997f-115f-4bfb-9bd1-20ece089747b,OM3
3862784,10/24/2018 11:52:12 AM,2236,2,Identification,TRUE,fa5979f9-cfcf-4574-b255-71b8f8046d71,OM2
3862788,10/24/2018 11:52:31 AM,2236,2,Identification,TRUE,5f8de41e-468b-41cd-bbc6-f1393e552136,CM2
3862808,10/24/2018 11:54:20 AM,8767,1,Identification,TRUE,9750e0d8-89a3-42fa-9ddf-c6c4050ec868,CM1
3862821,10/24/2018 11:55:48 AM,2236,2,Identification,TRUE,26856be7-1fef-443d-b7b1-cddc6284a217,CM1
3862839,10/24/2018 11:58:04 AM,2236,2,Identification,TRUE,d399fb4b-1da1-4b30-ae85-31bc76fa14eb,CM3
3862854,10/24/2018 12:00:12 PM,8767,1,Identification,TRUE,e6d76382-854d-4b70-bbe8-91aa593f84e4,CM4
3862913,10/24/2018 12:06:11 PM,1750,3,Identification,TRUE,301f03d7-ec82-4033-870d-6cede4da05c6,OM3
3862914,10/24/2018 12:06:12 PM,1750,3,Identification,TRUE,ef1bd829-5cbf-400c-9b46-98574f96da16,OM3
3862935,10/24/2018 12:07:57 PM,2236,2,Identification,TRUE,99567456-6b12-41c3-8b9c-c099d52ac582,CM3
3862937,10/24/2018 12:08:03 PM,2236,2,Identification,TRUE,8237bfe8-0202-4713-b30d-653e0270ca45,CM1
3862945,10/24/2018 12:08:30 PM,2236,2,Identification,TRUE,f59e388e-6ca7-4bec-a279-e620f1935d9d,OM1
3862975,10/24/2018 12:10:45 PM,2796,4,Identification,TRUE,43eeb603-af70-4ff2-8b49-828aa879130a,OM3
3862978,10/24/2018 12:11:06 PM,2792,7,Identification,TRUE,a6a9629e-4cee-4b31-ab9b-6ac1854c3dd7,CM4
3862993,10/24/2018 12:12:01 PM,2236,2,Identification,TRUE,b85408bd-de74-4ac5-9114-e14c81a83c42,CM4
3863017,10/24/2018 12:14:27 PM,2236,2,Identification,TRUE,884cad7a-83aa-476a-b67c-1b83b2027428,CM3
3863021,10/24/2018 12:14:43 PM,2236,2,Identification,TRUE,ab91f56c-801f-4d6c-b257-3ac6657228c8,OM3
3863033,10/24/2018 12:15:55 PM,2236,2,Identification,TRUE,1a39413d-b47a-495f-9753-d0020f4491e0,OM4
3863065,10/24/2018 12:18:17 PM,1750,3,Identification,TRUE,a6db07d4-ae69-4b22-80de-47da8de52ccd,OM2
3863066,10/24/2018 12:18:20 PM,2236,2,Identification,TRUE,cda628cb-d6cb-4af8-b17a-c4272ea42896,CM4
3863072,10/24/2018 12:18:34 PM,1750,3,Identification,TRUE,efcf14d4-ba3e-4deb-a641-7876d487a8b5,CM4
